id,visitid,violation,details_id,obs
1577,6704152,35A-04-4,17873279,"High Priority - - From initial inspection : High Priority - Rodent activity present as evidenced by rodent droppings found. Observed in dry storage area, 10 fresh droppings and over 20 dry on shelves where canned goods are stored. Over and near open containers of noodles, flour, sugar.
 Approximately 50 dry droppings on floor underneath shelves in corner of dry storage area.

7 fresh rodent droppings found under prep table where condiments and single service items are stored.

1 dry rodent dropping on storage shelf next to toothpicks. **Warning**     - From follow-up inspection 2018-08-16: Observed 10 dry rodent droppings on food storage shelf in dry storage area. **Time Extended**"
1578,6704152,01B-02-4,17873281,"High Priority - - From initial inspection : High Priority - Stop Sale issued on potentially hazardous (time/temperature control for safety) food due to temperature abuse.

Observed in walk in cooler egg rolls  at 46-47F - overnight Cooling, cooked wonton 51-80F - Cooling; and cooked chicken at 44-47F - overnight Cooling. Per operator items were cooked yesterday and placed in unit. Eggs rolls and cooked chicken did not reach 41F and below.

 **Warning**     - From follow-up inspection 2018-08-16: Observed on left side of flip top cooler at cookline foods stored in unit overnight shut off. Raw shrimp 68F cold holding , raw beef 78F  cold holding, cooked chicken 65F cold holding, cooked shrimp 64F cold holding, cooked pork 69F cold holding, garlic in oil 65F cold holding, water chestnuts 64F cold holding, mushrooms 65F cold holding, fried tofu 67F, cooked dumplings 65F cold holding, cooked ham 67F cold holding, sprouts 65F cold holding, rice noodles 63F cold holding. 

Observed in walk in cooler the cooling food cooling in covered containers. Cooked white rice 49-52F overnight cooling, cooked fried rice 49F overnight cooling, cooked chicken 49-51F overnight cooling, cooked ribs 44-48F overnight cooling, cooked noodles 44-48F overnight cooling, soup 52-53F overnight cooling.

**Admin Complaint** **Time Extended**"
1579,6704152,03D-16-4,17873285,"Intermediate - - From initial inspection : Intermediate - Potentially hazardous (time/temperature control for safety) food covered while cooling.

Observed in walk in cooler cooked rice 52-53F -Cooling; and fried rice 77-102F -Cooling in tightly covered plastic containers. Operator removed cover from containers.  **Corrective Action Taken** **Warning**     - From follow-up inspection 2018-08-16: Observed in walk in cooler the cooling food cooling in covered containers. Cooked white rice 49-52F overnight cooling, cooked fried rice 49F overnight cooling, cooked chicken 49-51F overnight cooling, cooked ribs 44-48F overnight cooling, cooked noodles 44-48F overnight cooling, soup 52-53F overnight cooling,**Admin Complaint** **Time Extended**"
3747,6714654,23-03-4,17909505,"Basic - - From initial inspection : Basic - Build-up of grease on nonfood-contact surface, Wok. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**"
3748,6714654,13-07-4,17909509,Basic - - From initial inspection : Basic - Employee wearing jewelry other than a plain ring on their hands/arms while preparing food. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3749,6714654,13-03-4,17909512,Basic - - From initial inspection : Basic - Employee with no hair restraint while engaging in food preparation. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3750,6714654,35B-01-4,17909515,"Basic - - From initial inspection : Basic - Exterior door has a gap at the threshold that opens to the outside, rear door. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**"
3751,6714654,36-41-4,17909514,Basic - - From initial inspection : Basic - Fan cover in walk-in cooler/freezer has accumulation of dust or debris. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3752,6714654,08B-38-4,17909506,Basic - - From initial inspection : Basic - Food stored on floor. Observed buckets of soy sauce on the floor at cookline. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3753,6714654,36-24-5,17909507,Basic - - From initial inspection : Basic - Hole in or other damage to wall by the exit door. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3754,6714654,21-13-4,17909513,Basic - - From initial inspection : Basic - Soiled wet wiping cloth placed in use with fresh solution. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3755,6714654,23-12-4,17909502,Basic - - From initial inspection : Basic - Walk-in cooler and/or walk-in freezer shelves soiled with encrusted food debris. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3756,6714654,36-72-4,17909504,Basic - - From initial inspection : Basic - Walk-in cooler/walk-in freezer floor soiled. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3757,6714654,35A-02-5,17909508,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area. Observed approximately 25 flies by the dishmachine area. **Warning**     - From follow-up inspection 2018-08-29: Observed 5 flies at the dishmachine area. **Time Extended**"
3758,6714654,08A-09-4,17909510,High Priority - - From initial inspection : High Priority - Raw animal food stored over ready-to-eat food in walk-in cooler. Observed raw pork stored over vegetables. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
3759,6714654,29-34-4,17909511,"High Priority - - From initial inspection : High Priority - Vacuum breaker missing at hose bibb or on fitting/splitter added to hose bibb, mop sink. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**"
3760,6714654,53A-03-6,17909503,Intermediate - - From initial inspection : Intermediate - Food manager certification expired.  A list of accredited food manager certification examination providers can be found at http://www.myfloridalicense.com/DBPR/hotels-restaurants/food-lodging/food-manager/ **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
5651,6709935,35A-02-5,17893870,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area.


Observed 1 Live flying fly landing on prep table where employee is working. One flying in soda box storage area by backdoor. One landing on wall by employee personal items storage. Two flies landing on outside of breading storage container, one live fly crawling around on scale. 2 by prep cooler flying around. Four flies flying around and landing on wall at south entrance to the kitchen wait station,
 
4 flies in women's restroom flying around and landing on walls.

Approximately 15 flying around and land glass storage rack and squeeze bottles. 1 crawling around on clean glass at bar area.
   **Warning**     - From follow-up inspection 2018-08-23: Observed 3 live flies in men's rest room flying around and nesting on walls. Observed 4 live flies nesting and flying around at south entrance to wait station. Observed 30 flies nesting on ceiling near kitchen entrance. Observed 3 in prep area nesting on wall and ceiling and 1 nesting on wing flourbag. Observed 1 on storage room door near back door. Observed 2 live flies nest on storage room door next to electrical room by backdoor door. Observed 1 fly on exit sign in cookline. Observed 1 fly on picture frame by walk in cooler. Observed 3 dead flies in bar area with 1 Live fly crawling around beer dispenser prep table and 1 nesting under shelving in bar area. Observed approximately 12 live flies nesting on wall and over booths closes to bar area. **Time Extended**"
6663,6714309,36-34-5,17909068,"Basic - - From initial inspection : Basic - Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**"
6664,6714309,14-09-4,17909066,Basic - - From initial inspection : Basic - Cutting board has cut marks and is no longer cleanable at cookline.. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
6665,6714309,35B-01-4,17909070,"Basic - - From initial inspection : Basic - Exterior door has a gap at the threshold that opens to the outside, rear door. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**"
6666,6714309,23-12-4,17909069,Basic - - From initial inspection : Basic - Walk-in cooler and/or walk-in freezer shelves soiled with encrusted food debris. Observed soiled walk in cooler's ceiling.  **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
6667,6714309,42-01-4,17909067,Basic - - From initial inspection : Basic - Wet mop not stored in a manner to allow the mop to dry. **Warning**     - From follow-up inspection 2018-08-29:  **Time Extended**
6668,6714309,35A-05-4,17909065,High Priority - - From initial inspection : High Priority - Roach activity present as evidenced by live roaches found. Observed 7 live roaches under the small steam table at front counter. **Warning**     - From follow-up inspection 2018-08-29: Observed 3 live roaches during the callback  **Time Extended**
9708,6702495,35B-01-4,17869009,Basic - - From initial inspection : Basic - Exterior door has a gap at the threshold that opens to the outside. Back door.     - From follow-up inspection 2018-08-14: Basic - Exterior door has a gap at the threshold that opens to the outside. Back door. **Time Extended**
9709,6702495,36-01-4,17869006,"Basic - - From initial inspection : Basic - Floor not cleaned when the least amount of food is exposed.  Grease accumulated on kitchen floor and/or under cooking equipment under grill at hood.  Hood soiled with accumulated grease, dust or food debris.  Floor drains/drain covers heavily soiled. Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance.     - From follow-up inspection 2018-08-14: Basic - Floor not cleaned when the least amount of food is exposed.  Grease accumulated on kitchen floor and/or under cooking equipment under grill at hood.  Hood soiled with accumulated grease, dust or food debris.  Floor drains/drain covers heavily soiled. Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance. **Time Extended**"
9710,6702495,14-31-4,17869005,Basic - - From initial inspection : Basic - Nonfood-grade bags used in direct contact with food. Thank you bags used to store tequenos in reach in freezer.     - From follow-up inspection 2018-08-14: Basic - Nonfood-grade bags used in direct contact with food. Thank you bags used to store tequenos in reach in freezer. **Time Extended**
9711,6702495,23-09-4,17869008,Basic - - From initial inspection : Basic - Soiled reach-in cooler gaskets.     - From follow-up inspection 2018-08-14: Basic - Soiled reach-in cooler gaskets. **Time Extended**
9712,6702495,22-43-4,17869010,"High Priority - - From initial inspection : High Priority - Encrusted material on can opener blade. Interior of oven, sandwich press,and grill has heavy accumulation of black substance/grease/food debris. Quaternary ammonium sanitizer not at proper minimum strength for manual warewashing. Do not use equipment/utensils not properly sanitized. Observed 50 ppm. Corrected to 200 ppm. **Corrected On-Site**     - From follow-up inspection 2018-08-14: Can opener blade was cleaned, quaternary at three compartment sink was 200 ppm. Sandwich press, oven, and grill requires cleaning. **Time Extended**"
9713,6702495,35A-02-5,17869007,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area. Observed about 6 flying around at coffee counter, about 6 in dry storage area, flying around and/or landing on food storage containers, about 12 at ware washing area landing on clean plates and utensils, about 4 flying around at ice machine, and about 3 flying around at front service area.     - From follow-up inspection 2018-08-14: Observed about 15 flying around throughout kitchen and dry storage area. **Time Extended**"
9714,6702702,35B-01-4,17869862,Basic - - From initial inspection : Basic - Exterior door has a gap at the threshold that opens to the outside. Back door.     - From follow-up inspection 2018-08-14: Basic - Exterior door has a gap at the threshold that opens to the outside. Back door. **Time Extended**     - From follow-up inspection 2018-08-15: - From initial inspection : Basic - Exterior door has a gap at the threshold that opens to the outside. Back door.     - From follow-up inspection 2018-08-14: Basic - Exterior door has a gap at the threshold that opens to the outside. Back door. **Time Extended**
9715,6702702,36-01-4,17869863,"Basic - - From initial inspection : Basic - Floor not cleaned when the least amount of food is exposed.  Grease accumulated on kitchen floor and/or under cooking equipment under grill at hood.  Hood soiled with accumulated grease, dust or food debris.  Floor drains/drain covers heavily soiled. Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance.     - From follow-up inspection 2018-08-14: Basic - Floor not cleaned when the least amount of food is exposed.  Grease accumulated on kitchen floor and/or under cooking equipment under grill at hood.  Hood soiled with accumulated grease, dust or food debris.  Floor drains/drain covers heavily soiled. Ceiling/ceiling tiles/vents soiled with accumulated food debris, grease, dust, or mold-like substance. **Time Extended**     - From follow-up inspection 2018-08-15: Observed hood filters, and ceiling tiles and air condition vents soiled with grease/dust. **Time Extended**"
9716,6702702,23-09-4,17869861,Basic - - From initial inspection : Basic - Soiled reach-in cooler gaskets.     - From follow-up inspection 2018-08-14: Basic - Soiled reach-in cooler gaskets. **Time Extended**     - From follow-up inspection 2018-08-15: - From initial inspection : Basic - Soiled reach-in cooler gaskets.     - From follow-up inspection 2018-08-14: Basic - Soiled reach-in cooler gaskets. **Time Extended**
9717,6702702,22-43-4,17869864,"High Priority - - From initial inspection : High Priority - Encrusted material on can opener blade. Interior of oven, sandwich press,and grill has heavy accumulation of black substance/grease/food debris. Quaternary ammonium sanitizer not at proper minimum strength for manual warewashing. Do not use equipment/utensils not properly sanitized. Observed 50 ppm. Corrected to 200 ppm. **Corrected On-Site**     - From follow-up inspection 2018-08-14: Can opener blade was cleaned, quaternary at three compartment sink was 200 ppm. Sandwich press, oven, and grill requires cleaning. **Time Extended**     - From follow-up inspection 2018-08-15: Sandwich press is still heavily soiled with encrusted food debris. **Time Extended**"
9718,6702702,35A-02-5,17869865,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area. Observed about 6 flying around at coffee counter, about 6 in dry storage area, flying around and/or landing on food storage containers, about 12 at ware washing area landing on clean plates and utensils, about 4 flying around at ice machine, and about 3 flying around at front service area.     - From follow-up inspection 2018-08-14: Observed about 15 flying around throughout kitchen and dry storage area. **Time Extended**     - From follow-up inspection 2018-08-15: Observed 2 flying around in ware washing area and landing on clean pans on a dish draining rack. **Time Extended**"
9853,6675816,36-34-5,17780737,Basic - - From initial inspection : Basic - Ceiling/ceiling tiles/vents soiled with accumulated dust in wait station and with mold-like substance at end of cookline near grill. **Warning**     - From follow-up inspection 2018-07-10: Still observed. **Time Extended**     - From follow-up inspection 2018-07-11: Dust still observed on vents in kitchen. **Time Extended**
9854,6675816,35A-02-5,17780736,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area.
Over 50 flies in kitchen in on and around soda boxes and at triple sink and flying around preparation tables food food in rear preparation line. There are also approximately 8 flies in food dry storage room in kitchen, approximately 4 flies in the bar, and 2 flies in kitchen cookline. **Warning**     - From follow-up inspection 2018-07-10: There are at least 20 flies in warewashing area on racks holding clean glasses and on clean containers and under dish machine, 5 flies on bag in box soda syrups near triple sink, approximately 6 flies in bar, and 2 flies in cookline on ceiling.


There is also a dead roach on floor between wall and cooler in bar, manager removed it.
Operator instructed to remove flies. **Admin Complaint**     - From follow-up inspection 2018-07-11: There are 2 flies in the cookline: 1 on single service deli papers and 1 on top of microwave. There is also another fly in near the dish machine. Operator attempted to removed flies.  **Time Extended** **Corrective Action Taken**"
9855,6675816,35A-04-4,17780735,"High Priority - - From initial inspection : High Priority - Rodent activity present as evidenced by rodent droppings found.
Observed approximately 6 fresh droppings on top of dish machine and 3 fresh droppings under dish machine. 

There are 8 dried droppings on top of dish machine and 2 dried droppings under dish machine, 2 dried droppings on a shelf in cookline next to a container with tortillas above flip top cooler next to handwash sink, 3 dried droppings on shelves on the rolling can storage cart by rear exit door, and 2 dried droppings on wait station cabinet at food pick up window next to sanitizer bucket. 

Managers were instructed to remove droppings and to clean and sanitize areas.
**Warning** **Warning**     - From follow-up inspection 2018-07-10: There are approximately 7 moist rodent droppings under dish machine, 6 moist rodent droppings on cabinet shelf in wait station where packaged teas are kept, and 1 moist dropping in liquor room on floor.
There was also 1 dried dropping on floor in liquor storage room.
Operator was instructed to remove the dropping and then to clean and sanitize area. They began to do so. **Time Extended** **Corrective Action Taken**     - From follow-up inspection 2018-07-11: No moist rodent droppings observed. There was 1 dried rodent dropping on the cabinet in the wait station and approximately 35 dried droppings on top of metal structure under dish machine. Managers removed them. **Time Extended** **Corrective Action Taken**"
9856,6684755,51-11-4,17813163,Basic - - From initial inspection : Basic - Carbon dioxide/helium tanks not adequately secured across from walk in cooler near back door by dumpster. **Warning**     - From follow-up inspection 2018-07-24: They are still not chained. **Time Extended**
9857,6684755,35A-03-4,17813164,"Basic - - From initial inspection : Basic - Dead roaches on premises.
Observed 1 dead roach next to napkins in wait station cabinet, 1 dead roach on floor next to ice machine in kitchen, and 1 dead roach on can storage rack in rear of kitchen. Employees began to remove roaches. **Corrective Action Taken** **Warning**     - From follow-up inspection 2018-07-24: There is a dead roach on floor next to ice machine in kitchen, employee removed it. **Time Extended** **Corrected On-Site**"
9858,6684755,36-70-4,17813159,"Basic - - From initial inspection : Basic - Strong objectionable odor in establishment inside of walk in cooler by mop sink.

Ceiling tiles removed above can storage rack by back door and above shelf with metal pans near mop sink. Some of the ceiling tiles were replaced. **Corrective Action Taken** **Warning**     - From follow-up inspection 2018-07-24: Strong odor still observed. 
Ceiling tiles are now in place. **Time Extended** **Corrective Action Taken**"
9859,6684755,22-41-4,17813160,"High Priority - - From initial inspection : High Priority - Dishmachine chlorine sanitizer not at proper minimum strength. Discontinue use of dishmachine for sanitizing and set up manual sanitization until dishmachine is repaired and sanitizing properly.
Observed at the Dishwasher (Chlorine 10ppm). **Warning**     - From follow-up inspection 2018-07-24: Still observed at 10ppm. **Time Extended**"
9860,6684755,35A-02-5,17813162,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area.
Observed 2 flies on bag in box soda syrup next to triple sink. **Repeat Violation** **Warning**     - From follow-up inspection 2018-07-24: Observed 1 fly on paper goods box in rear storage room. **Time Extended**"
9861,6684755,35A-04-4,17813161,"High Priority - - From initial inspection : High Priority - Rodent activity present as evidenced by rodent droppings found.
Observed approximately 11 dried rodent droppings on can storage rack in rear of kitchen. Employees removed them. **Corrected On-Site** **Repeat Violation** **Warning**     - From follow-up inspection 2018-07-24: There are approximately 17 dried rodent droppings on shelves next to and under plates and paper goods in rear storage area near dumpster.  Manager began to remove them. **Time Extended** **Corrective Action Taken**"
9876,6673923,36-34-5,17778297,Basic - - From initial inspection : Basic - Ceiling/ceiling tiles/vents soiled with accumulated dust in wait station and with mold-like substance at end of cookline near grill. **Warning**     - From follow-up inspection 2018-07-10: Still observed. **Time Extended**
9877,6673923,35B-01-4,17778301,Basic - - From initial inspection : Basic - Exterior door by beer walk in cooler has a gap at the threshold that opens to the enclosed room where dumpster and chemicals are located. **Warning**     - From follow-up inspection 2018-07-10: Still observed. **Time Extended**
9878,6673923,29-19-4,17778300,"Basic - - From initial inspection : Basic - Standing water in floor drain/floor drain draining very slowly near triple sink.

Observed standing water and beverage residue in bottom of beer reach-in cooler in bar. **Warning**     - From follow-up inspection 2018-07-10: Floor drain is now clear.

Cooler still has standing water. **Time Extended**"
9879,6673923,12A-19-4,17778298,"High Priority - - From initial inspection : High Priority - Employee washed hands with cold water.
Observed a manager in kitchen and bartender wash hands with cold water only and then continued to work with food and drinks. They were told to wash their hands properly but did not do so.

Employee touched face/hair and then engaged in food preparation, handled clean equipment or utensils, or touched unwrapped single-service items without washing hands.
Waiter touched hair and then picked up salad at pick up window in kitchen without hand washing. **Warning**     - From follow-up inspection 2018-07-10:  **Time Extended**"
9880,6673923,35A-02-5,17778302,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area.
Over 50 flies in kitchen in on and around soda boxes and at triple sink and flying around preparation tables food food in rear preparation line. There are also approximately 8 flies in food dry storage room in kitchen, approximately 4 flies in the bar, and 2 flies in kitchen cookline. **Warning**     - From follow-up inspection 2018-07-10: There are at least 20 flies in warewashing area on racks holding clean glasses and on clean containers and under dish machine, 5 flies on bag in box soda syrups near triple sink, approximately 6 flies in bar, and 2 flies in cookline on ceiling.


There is also a dead roach on floor between wall and cooler in bar, manager removed it.
Operator instructed to remove flies. **Admin Complaint**"
9881,6673923,35A-04-4,17778299,"High Priority - - From initial inspection : High Priority - Rodent activity present as evidenced by rodent droppings found.
Observed approximately 6 fresh droppings on top of dish machine and 3 fresh droppings under dish machine. 

There are 8 dried droppings on top of dish machine and 2 dried droppings under dish machine, 2 dried droppings on a shelf in cookline next to a container with tortillas above flip top cooler next to handwash sink, 3 dried droppings on shelves on the rolling can storage cart by rear exit door, and 2 dried droppings on wait station cabinet at food pick up window next to sanitizer bucket. 

Managers were instructed to remove droppings and to clean and sanitize areas.
**Warning** **Warning**     - From follow-up inspection 2018-07-10: There are approximately 7 moist rodent droppings under dish machine, 6 moist rodent droppings on cabinet shelf in wait station where packaged teas are kept, and 1 moist dropping in liquor room on floor.
There was also 1 dried dropping on floor in liquor storage room.
Operator was instructed to remove the dropping and then to clean and sanitize area. They began to do so. **Time Extended** **Corrective Action Taken**"
9882,6676830,36-34-5,17782958,Basic - - From initial inspection : Basic - Ceiling/ceiling tiles/vents soiled with accumulated dust in wait station and with mold-like substance at end of cookline near grill. **Warning**     - From follow-up inspection 2018-07-10: Still observed. **Time Extended**     - From follow-up inspection 2018-07-11: Dust still observed on vents in kitchen. **Time Extended**     - From follow-up inspection 2018-07-12: Still observed. **Time Extended**
9883,6676830,35A-02-5,17782957,"High Priority - - From initial inspection : High Priority - Live, small flying insects in kitchen, food preparation area, or food storage area.
Over 50 flies in kitchen in on and around soda boxes and at triple sink and flying around preparation tables food food in rear preparation line. There are also approximately 8 flies in food dry storage room in kitchen, approximately 4 flies in the bar, and 2 flies in kitchen cookline. **Warning**     - From follow-up inspection 2018-07-10: There are at least 20 flies in warewashing area on racks holding clean glasses and on clean containers and under dish machine, 5 flies on bag in box soda syrups near triple sink, approximately 6 flies in bar, and 2 flies in cookline on ceiling.


There is also a dead roach on floor between wall and cooler in bar, manager removed it.
Operator instructed to remove flies. **Admin Complaint**     - From follow-up inspection 2018-07-11: There are 2 flies in the cookline: 1 on single service deli papers and 1 on top of microwave. There is also another fly in near the dish machine. Operator attempted to removed flies.  **Time Extended** **Corrective Action Taken**     - From follow-up inspection 2018-07-12: There are 6 flies on soda syrup boxes and lines in kitchen next to triple sink, 1 fly in cookline on microwave, and 1 fly in wait station.


 **Time Extended**"
9884,6676830,35A-04-4,17782956,"High Priority - - From initial inspection : High Priority - Rodent activity present as evidenced by rodent droppings found.
Observed approximately 6 fresh droppings on top of dish machine and 3 fresh droppings under dish machine. 

There are 8 dried droppings on top of dish machine and 2 dried droppings under dish machine, 2 dried droppings on a shelf in cookline next to a container with tortillas above flip top cooler next to handwash sink, 3 dried droppings on shelves on the rolling can storage cart by rear exit door, and 2 dried droppings on wait station cabinet at food pick up window next to sanitizer bucket. 

Managers were instructed to remove droppings and to clean and sanitize areas.
**Warning** **Warning**     - From follow-up inspection 2018-07-10: There are approximately 7 moist rodent droppings under dish machine, 6 moist rodent droppings on cabinet shelf in wait station where packaged teas are kept, and 1 moist dropping in liquor room on floor.
There was also 1 dried dropping on floor in liquor storage room.
Operator was instructed to remove the dropping and then to clean and sanitize area. They began to do so. **Time Extended** **Corrective Action Taken**     - From follow-up inspection 2018-07-11: No moist rodent droppings observed. There was 1 dried rodent dropping on the cabinet in the wait station and approximately 35 dried droppings on top of metal structure under dish machine. Managers removed them. **Time Extended** **Corrective Action Taken**     - From follow-up inspection 2018-07-12: Observed 2 moist rodent droppings under dish machine. **Time Extended**"
10434,6729436,35A-03-4,17961402,"Basic - - From initial inspection : Basic - Dead roaches on premises.
2 dead on shelf in front counter 
2 dead under shelf where plates are stored.
3 dead as you walk in to kitchen
1 dead on lid on food container in shelf in prep area. 
1 dead on door across the bathroom. 
1 dead on cutting board on prep area. 
1 dead in side walk in cooler 
2 dead on prep table 
4 dead near dry storage shelf. 
2 dead near sink across bathroom     - From follow-up inspection 2018-09-19: 2 dead on shelf in front cook like 
2 dead on door in front of bathroom 
3 dead in between fryer.  **Time Extended**"
10435,6729436,36-73-4,17961404,"Basic - - From initial inspection : Basic - Floor soiled/has accumulation of debris.
Under equipment and prep tables and shelves.     - From follow-up inspection 2018-09-19:  **Time Extended**"
10436,6729436,35A-05-4,17961401,"High Priority - - From initial inspection : High Priority - Roach activity present as evidenced by live roaches found.
1 live walking on door across bathroom. 
7 live on molding in employee bathroom. 
2 live inside of togo utensils box in front counter.
4 live in reach in cooler on cookline 
1 live in sugar container 
2 live on floor near walk in coolers 
3 live in between reach in cooler gasket on cook line.     - From follow-up inspection 2018-09-19: 2 live on door across the bathroom.
2 live inside oven in cook line 
2 live on wall in prep area
2 live on wall going into the kitchen  **Time Extended**"
10437,6729436,22-02-4,17961403,"Intermediate - - From initial inspection : Intermediate - Accumulation of food debris/grease on food-contact surface.
On counter tops in prep area. 
Gaskets in reach in cooler.     - From follow-up inspection 2018-09-19:  **Time Extended**"
10438,6729436,01C-03-4,17961406,"Intermediate - - From initial inspection : Intermediate - Clam/mussel/oyster tags not marked with last date served.
     - From follow-up inspection 2018-09-19:  **Time Extended**"
